orgorder	strucperf	arrnum	countryname	arrtype	approvaldate	initialenddate	actualenddate	boardactdate	dqpccode	dqpc	dqpcnote	testdate	revstatus	comments	units	programamt	actualamt	programtype	reviewtype
P010800148	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	114	Ceiling on External Arrears		06.30.2007	M	Met for P1R5.	US$(billions)	0	0	P1	R6
P010800149	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	114	Ceiling on External Arrears		12.31.2007	M	Met for P1R6.	US$(billions)	0	0	P1	R6
P010800150	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	135	Fiscal deficit		06.30.2005	M		NC (billions)	-25	-3.3	P1	R6
P010800151	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	135	Fiscal deficit		12.31.2005	M		NC (billions)	-61.8	-58	P1	R6
P010800152	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	135	Fiscal deficit		06.30.2006	M	In EBS/06/141, 2006 June values are setimated.	NC (billions)	-32.2	-6.5	P1	R6
P010800153	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	135	Fiscal deficit		12.31.2006	M		NC (billions)	-69.9	-50.4	P1	R6
P010800154	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	135	Fiscal deficit		06.30.2007	M		NC (billions)	-25.6	-0.1	P1	R6
P010800155	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	135	Fiscal deficit		12.31.2007	M		NC (billions)	-68.5	-56.1	P1	R6
P010800156	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	149	Domestic Arrears		06.30.2005	M		NC (billions)	0	0	P1	R6
P010800157	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	149	Domestic Arrears		12.31.2005	M		NC (billions)	0	0	P1	R6
P010800158	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	149	Domestic Arrears		06.30.2006	M		NC (billions)	0	0	P1	R6
P010800159	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	149	Domestic Arrears		12.31.2006	M	Met for P1R4.	NC(billions)	0	0	P1	R6
P010800160	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	149	Domestic Arrears		06.30.2007	M		NC (billions)	0	0	P1	R6
P010800161	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	149	Domestic Arrears		12.31.2007	M		NC (billions)	0	0	P1	R6
P010800162	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	7.1	Revenues	Tax revenues of the central government (floor).	06.30.2005	M		NCU (billions)	137.3	139.8	P1	R6
P010800163	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	7.1	Revenues	Tax revenues of the central government (floor).	12.31.2006	M		NCU (billions)	364.3	383.8	P1	R6
P010800164	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	7.1	Revenues	Tax revenues of the central government (floor).	06.30.2006	M		NCU (billions)	160.7	166.6	P1	R6
P010800165	performance	557	armenia	PRGF	25.05.2005	24.05.2008		19.05.2008	7.1	Revenues	Tax revenues of the central government (floor).	12.31.2005	W		NCU (billions)	310	321.5	P1	R6
P010800166	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	1	Total domestic credit		09.30.2003	M	Period change since start of FY	NC (billions)	6	-9	P1	R5
P010800167	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	1	Total domestic credit		03.31.2004	M	Cumulative flow since start of fiscal year	NC (billions)	6	4	P1	R5
P010800168	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	1	Total domestic credit		09.30.2004	M		NC (billions)	-7	-15	P1	R5
P010800169	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	1	Total domestic credit		09.30.2005	W	At P1R4, overshoot primarily due to the late disbursement of a US$200 million of an education sector loan under the World Bank DSC.	NC (billions)	2	19	P1	R5
P010800170	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	1	Total domestic credit		03.31.2006	M		NC (billions)	46	45	P1	R5
P010800171	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	1	Total domestic credit		12.31.2006	PC		US$(billions)	29		P1	R5
P010800172	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	16	Credit to Government/public sector		09.30.2003	M		NC (billions)	20	15	P1	R5
P010800173	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	16	Credit to Government/public sector		03.31.2004	M	Celing on net domestic financing of central govt. -Period change since start of FY	NC (billions)	50	39	P1	R5
P010800174	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	16	Credit to Government/public sector		09.30.2004	M		NC (billions)	4	-6	P1	R5
P010800175	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	16	Credit to Government/public sector		09.30.2005	W		NC (billions)	8	13	P1	R5
P010800176	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	16	Credit to Government/public sector		03.31.2006	M		NC (billions)	55	33	P1	R5
P010800177	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	16	Credit to Government/public sector		12.31.2006	PC		US$(billions)	25		P1	R5
P010800178	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	32	BOP/Reserve Test		09.30.2003	M		US$ (billions)	-0.05	0.112	P1	R5
P010800179	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	32	BOP/Reserve Test		03.31.2004	M		US$ (billions)	0.125	0.143	P1	R5
P010800180	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	32	BOP/Reserve Test		09.30.2004	M		US$ (billions)	0.2	0.331	P1	R5
P010800181	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	32	BOP/Reserve Test		09.30.2005	W	Adjusted downward by $100 million for 9/05 and 3/06, reflecting delay in disbursement of WB education sector loan.	US$ (billions)	0.07	-0.199	P1	R5
P010800182	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	32	BOP/Reserve Test		03.31.2006	M	Adjusted downward by $100 million for 9/05 and 3/06, reflecting delay in disbursement of WB education sector loan.	US$ (billions)	-0.181	-0.069	P1	R5
P010800183	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	32	BOP/Reserve Test		12.31.2006	PC		US$(billions)	0		P1	R5
P010800184	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	47	Medium /Long Term External Debt		09.30.2003	M		US$ (billions)	0.1	0	P1	R5
P010800185	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	47	Medium /Long Term External Debt		03.31.2004	M		US$ (billions)	0.2	0.008	P1	R5
P010800186	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	47	Medium /Long Term External Debt		09.30.2004	M		US$ (billions)	0.1	0.008	P1	R5
P010800187	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	47	Medium /Long Term External Debt		09.30.2005	M		US$ (billions)	0.1	0	P1	R5
P010800188	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	47	Medium /Long Term External Debt		03.31.2006	M		US$ (billions)	0.2	0	P1	R5
P010800189	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	47	Medium /Long Term External Debt		12.31.2006	PC		US$(billions)	0.15		P1	R5
P010800190	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	74	Medium/Long term External Debt Subceiling		09.30.2003	M		US$ (billions)	0	0	P1	R5
P010800191	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	74	Medium/Long term External Debt Subceiling		03.31.2004	M		US$ (billions)	0	0	P1	R5
P010800192	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	74	Medium/Long term External Debt Subceiling		09.30.2004	M		US$ (billions)	0	0	P1	R5
P010800193	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	74	Medium/Long term External Debt Subceiling		09.30.2005	M		US$ (billions)	0	0	P1	R5
P010800194	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	74	Medium/Long term External Debt Subceiling		03.31.2006	M		US$ (billions)	0	0	P1	R5
P010800195	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	74	Medium/Long term External Debt Subceiling		12.31.2006	PC		US$(billions)	0		P1	R5
P010800196	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	84	Short term Debt		09.30.2003	M		US$ (billions)	0	0	P1	R5
P010800197	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	84	Short term Debt		03.31.2004	M		US$ (billions)	0	0	P1	R5
P010800198	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	84	Short term Debt		09.30.2004	M		US$ (billions)	0	0	P1	R5
P010800199	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	84	Short term Debt		Continuous	PC		US$ (billions)	0		P1	R5
P010800200	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	84	Short term Debt		09.30.2005	M		US$ (billions)	0	0	P1	R5
P010800201	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	84	Short term Debt		03.31.2006	M	Met for P1R5.	US$(billions)	0	0	P1	R5
P010800202	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	107	No New arrears/default(continuous injunction)		09.30.2003	M		US$ (billions)	0	0	P1	R5
P010800203	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	107	No New arrears/default(continuous injunction)		03.31.2004	M		US$ (billions)	0	0	P1	R5
P010800204	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	107	No New arrears/default(continuous injunction)		Continuous	PC		US$ (billions)	0		P1	R5
P010800205	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	107	No New arrears/default(continuous injunction)		09.30.2004	M		US$ (billions)	0	0	P1	R5
P010800206	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	107	No New arrears/default(continuous injunction)		09.30.2005	M		US$ (billions)	0	0	P1	R5
P010800207	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	107	No New arrears/default(continuous injunction)		03.31.2006	M	Met for P1R5.	US$(billions)	0	0	P1	R5
P010800208	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	7.2	Expenditures	Ceiling on net central govt. bank borrowing	09.30.2005	W		NCU (billions)	-4	8	P1	R5
P010800209	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	7.1	Revenues	Total revenues of the central government (floor)	09.30.2005	M		NCU (billions)	73	70	P1	R5
P010800210	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	7.2	Expenditures	Ceiling on net central govt. bank borrowing	03.31.2004	M		NCU (billions)	13	1	P1	R5
P010800211	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	7.2	Expenditures	Ceiling on net central govt. bank borrowing	09.30.2003	M		NCU (billions)	11	-1	P1	R5
P010800212	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	7.1	Revenues	Total revenues of the central government (floor)	03.31.2006	W		NCU (billions)	244	230	P1	R5
P010800213	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	7.1	Revenues	Total revenues of the central government (floor)	12.31.2006	PC		NCU (billions)	221		P1	R5
P010800214	performance	511	bangladesh	PRGF	20.06.2003	19.06.2006	19.06.2007	27.10.2006	7.2	Expenditures	Ceiling on net central govt. bank borrowing	09.30.2004	M		NCU (billions)	-5	-15	P1	R5
P010800215	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	16	Credit to Government/public sector		09.30.2005	M		NC (billions)	11	5.1	P1	R3
P010800216	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	16	Credit to Government/public sector		12.31.2006	M		NC (billions)	-38	-49.6	P1	R3
P010800217	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	16	Credit to Government/public sector		06.30.2007	M		NC (billions)	21	-34.2	P1	R3
P010800218	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	16	Credit to Government/public sector		12.30.2007	PC		NC (billions)	-4.1		P1	R3
P010800219	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	16	Credit to Government/public sector		06.30.2008	PC		US$(billions)	-35.4		P1	R3
P010800220	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	47	Medium /Long Term External Debt		Continuous	PC		NC (billions)	0		P1	R3
P010800221	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	47	Medium /Long Term External Debt		12.31.2005	W	Continuous qpc not met for P1R1.	NC (billions)	0	17.4	P1	R3
P010800222	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	47	Medium /Long Term External Debt		12.31.2006	M	Met for P1R2.	NC (billions)	0	0	P1	R3
P010800223	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	47	Medium /Long Term External Debt		06.30.2007	M	Met for P1R3.	NC (billions)	0	0	P1	R3
P010800224	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	84	Short term Debt		Continuous	PC		NC (billions)	0		P1	R3
P010800225	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	84	Short term Debt		09.30.2005	M	Met for P1R1.	NC (billions)	0	0	P1	R3
P010800226	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	84	Short term Debt		12.31.2006	M	Met for P1R2.	NC (billions)	0	0	P1	R3
P010800227	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	84	Short term Debt		06.30.2007	M	Met for P1R3.	NC (billions)	0	0	P1	R3
P010800228	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	107	No New arrears/default(continuous injunction)		Continuous	PC		NC (billions)	0		P1	R3
P010800229	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	107	No New arrears/default(continuous injunction)		09.30.2005	M	Met for P1R1.	NC (billions)	0	0	P1	R3
P010800230	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	107	No New arrears/default(continuous injunction)		12.31.2006	M	Met for P1R2.	NC (billions)	0	0	P1	R3
P010800231	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	107	No New arrears/default(continuous injunction)		06.30.2007	M	Met for P1R3.	NC (billions)	0	0	P1	R3
P010800232	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	135	Fiscal deficit		09.30.2005	M		NC (billions)	-12.5	14.1	P1	R3
P010800233	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	135	Fiscal deficit		12.31.2006	M		NC (billions)	-22.2	9.2	P1	R3
P010800234	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	135	Fiscal deficit		06.30.2007	M		NC (billions)	-4.4	69.4	P1	R3
P010800235	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	135	Fiscal deficit		12.30.2007	PC		NC (billions)	-0.5		P1	R3
P010800236	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	135	Fiscal deficit		06.30.2008	PC		NC (billions)	49.2		P1	R3
P010800237	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	149	Domestic Arrears		06.30.2006	W	Continuous qpc not met for P1R1.	NC (billions)	0	33	P1	R3
P010800238	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	149	Domestic Arrears		Continuous	PC		NC (billions)	0		P1	R3
P010800239	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	149	Domestic Arrears		12.31.2006	M	Met for P1R2.	NC (billions)	0	0	P1	R3
P010800240	performance	560	benin	PRGF	05.08.2005	04.08.2008	04.08.2009	09.01.2008	149	Domestic Arrears		06.30.2007	M	Met for P1R3.	NC (billions)	0	0	P1	R3
P010800241	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	1	Total domestic credit		03.31.2003	M		NC (billions)	0.725	0.262	P1	R6
P010800242	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	1	Total domestic credit		09.30.2003	M		NC (billions)	-0.5	-0.594	P1	R6
P010800243	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	1	Total domestic credit		06.30.2003	M		NC (billions)	0.25	-0.61	P1	R6
P010800244	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	1	Total domestic credit		12.31.2003	W		NC (billions)	-0.245	-0.231	P1	R6
P010800245	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	1	Total domestic credit		06.30.2004	W	At P1R4, not met owing to financial sector deposit withdrawals and fall in NIR.	NC (billions)	0.5	0.761	P1	R6
P010800246	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	1	Total domestic credit		09.30.2004	M		NC (billions)	0.4946	0.01	P1	R6
P010800247	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	1	Total domestic credit		06.30.2005	M		NC (billions)	-0.168	-0.451	P1	R6
P010800248	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	1	Total domestic credit		09.30.2005	M		NC (billions)	-0.106	-1.498	P1	R6
P010800249	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	1	Total domestic credit		12.31.2005	PC		NC (billions)	0.102		P1	R6
P010800250	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	16	Credit to Government/public sector		06.30.2003	M		NC (billions)	0.175	-0.276	P1	R6
P010800251	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	16	Credit to Government/public sector		09.30.2003	M		NC (billions)	-0.325	-0.332	P1	R6
P010800252	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	16	Credit to Government/public sector		12.31.2003	W		NC (billions)	-0.082	-0.15	P1	R6
P010800253	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	16	Credit to Government/public sector		03.31.2003	M		NC (billions)	0.35	0.311	P1	R6
P010800254	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	16	Credit to Government/public sector		06.30.2004	M	At P1R4, met with wide margin in part because of long term liability exchange between the BCB and Treasury.	NC (billions)	0.138	-0.153	P1	R6
P010800255	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	16	Credit to Government/public sector		09.30.2004	W	At P1R5, QPC was marginally missed (by US$ 2 million), owing to delays in grant disbursements.	NC (billions)	-0.116	-0.396	P1	R6
P010800256	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	16	Credit to Government/public sector		06.30.2005	M		NC (billions)	-0.391	-0.608	P1	R6
P010800257	performance	512	bolivia	SBA	02.04.2003	01.04.2004	31.03.2006	31.10.2005	16	Credit to Government/public sector		09.30.2005	M		NC (billions)	-0.298	-1.206	P1	R6
