orgorder	strucperf	arrange	countryname	arrangetype	approvaldate	durationto	quantperfcode	description	testdate	status	reviewcomment	programstatus	programtype	reviewtype
P930100095	performance	77	algeria	SBA	27.05.1994	26.05.1995	4	Med/Long-term Ext Debt Ceiling	12.31.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100096	performance	77	algeria	SBA	27.05.1994	26.05.1995	4	Med/Long-term Ext Debt Ceiling	3.31.1995		Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100097	performance	77	algeria	SBA	27.05.1994	26.05.1995	5	Med/Long-term Ext Debt-Sub Ceiling	6.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100098	performance	77	algeria	SBA	27.05.1994	26.05.1995	5	Med/Long-term Ext Debt-Sub Ceiling	9.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100099	performance	77	algeria	SBA	27.05.1994	26.05.1995	5	Med/Long-term Ext Debt-Sub Ceiling	12.31.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100100	performance	77	algeria	SBA	27.05.1994	26.05.1995	5	Med/Long-term Ext Debt-Sub Ceiling	3.31.1995		Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100101	performance	77	algeria	SBA	27.05.1994	26.05.1995	6	Short-term Debt	6.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100102	performance	77	algeria	SBA	27.05.1994	26.05.1995	6	Short-term Debt	9.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100103	performance	77	algeria	SBA	27.05.1994	26.05.1995	6	Short-term Debt	12.31.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100104	performance	77	algeria	SBA	27.05.1994	26.05.1995	6	Short-term Debt	3.31.1995		Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100105	performance	77	algeria	SBA	27.05.1994	26.05.1995	7	External Arrears	Continuous	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100106	performance	77	algeria	SBA	27.05.1994	26.05.1995	9	Fiscal Deficit	6.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100107	performance	77	algeria	SBA	27.05.1994	26.05.1995	9	Fiscal Deficit	9.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100108	performance	77	algeria	SBA	27.05.1994	26.05.1995	9	Fiscal Deficit	12.31.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100109	performance	77	algeria	SBA	27.05.1994	26.05.1995	9	Fiscal Deficit	3.31.1995		Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100110	performance	77	algeria	SBA	27.05.1994	26.05.1995	638	Other: Net Bank Credit to 23 PEs	6.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100111	performance	77	algeria	SBA	27.05.1994	26.05.1995	638	Other: Net Bank Credit to 23 PEs	9.30.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100112	performance	77	algeria	SBA	27.05.1994	26.05.1995	638	Other: Net Bank Credit to 23 PEs	12.31.1994	M	Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100113	performance	77	algeria	SBA	27.05.1994	26.05.1995	638	Other: Net Bank Credit to 23 PEs	3.31.1995		Additional measures were needed to ensure that the budget deficit targets for the remainder of the program period would be met and discussions on the 1995 budget werre longer than initially expected. 2nd rev. not completed(EFF negotiated to replaced SBA).	P1OC	P1	OC
P930100114	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	6.30.1995	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100115	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	9.30.1995	W	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100116	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	12.31.1995	Mod	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100117	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	3.31.1996	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100118	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	6.30.1996	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100119	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	9.30.1996	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100120	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	12.31.1996	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100121	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	3.31.1997	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100122	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	6.30.1997	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100123	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	9.30.1997	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100124	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	12.31.1997	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100125	performance	84	algeria	EFF	22.05.1995	21.05.1998	1	Domestic Credit	3.31.1998	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100126	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	6.30.1995	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100127	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	9.30.1995	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100128	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	12.31.1995	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100129	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	3.31.1996	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100130	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	6.30.1996	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100131	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	9.30.1996	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100132	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	12.31.1996	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100133	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	3.31.1997	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100134	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	6.30.1997	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100135	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	9.30.1997	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
P930100136	performance	84	algeria	EFF	22.05.1995	21.05.1998	2	Credit to Government/Public Sector	12.31.1997	M	1st review: Waivers for end-Sept. 1995 PCs on NDA and NIR; NDA and NIR targets for end-Dec. 1995 modified. A performance criterion was modified for 2nd review.	P1OC	P1	OC
