"ISO3","Year","total_cond","rohstoff_cond","stabil_cond","sonstige_cond","avgcondtype_all","rohstoff_cond_share","stabil_cond_share","FuelExportPct","MineralExportPct","XDebtGNI","DebtServGNI","ResXDebt","unsc","unsc_t1","unsc3","resource_dep","Rohstoffabhängigkeit","region"
"ARG",2025,53,12,30,14,0.792452830188679,0.226415094339623,0.566037735849057,NA,NA,30.364633685192,NA,NA,0,0,0,NA,NA,"LAC"
"ARM",2005,198,5,157,41,0.818181818181818,0.0252525252525253,0.792929292929293,2.21920980265978,9.40870946056114,70.1397385835334,15.1206,33.9867997524662,0,0,0,11.6279192632209,11.6279192632209,"ECA"
"ARM",2008,12,4,12,0,1.33333333333333,0.333333333333333,1,0.259782913208907,28.548310685311,54.5423279613666,14.4161,38.9426901449574,0,0,0,28.8080935985199,28.8080935985199,"ECA"
"ARM",2009,44,14,28,9,0.954545454545455,0.318181818181818,0.636363636363636,0.0903876860458172,44.0860659129662,57.2742357441995,10.7228,40.6006069455793,0,0,0,44.176453599012,44.176453599012,"ECA"
"ARM",2010,167,4,112,55,0.694610778443114,0.0239520958083832,0.67065868263473,3.02154436932198,50.7772242753667,64.642975973633,10.3967,29.5825877386077,0,0,0,53.7987686446887,53.7987686446887,"ECA"
"ARM",2014,195,28,131,58,0.815384615384615,0.143589743589744,0.671794871794872,5.94447107873547,35.230494315673,75.778866962639,10.6154,17.4088735967411,0,0,0,41.1749653944085,41.1749653944085,"ECA"
"ARM",2019,182,8,87,89,0.521978021978022,0.043956043956044,0.478021978021978,2.85017379117155,36.1418001345159,97.847004865327,13.4175,23.9778537148483,0,0,0,38.9919739256874,38.9919739256874,"ECA"
"ARM",2022,218,17,158,43,0.802752293577982,0.0779816513761468,0.724770642201835,1.90126435030844,21.8592963976107,103.878629213508,20.3501,25.809119072306,0,0,0,23.7605607479191,23.7605607479191,"ECA"
"ARM",2025,13,0,11,2,0.846153846153846,0,0.846153846153846,NA,NA,101.705936395702,NA,NA,0,0,0,NA,NA,"ECA"
"BDI",2004,213,38,133,43,0.802816901408451,0.178403755868545,0.624413145539906,0.00597765777574388,0.731753556244,NA,1.6614,4.87311300946989,0,0,0,0.737731214019744,0.737731214019744,"SSA"
"BDI",2008,210,11,152,55,0.776190476190476,0.0523809523809524,0.723809523809524,0.795630709133161,5.27097031201033,NA,1.2938,19.1713523432241,0,0,0,6.06660102114349,6.06660102114349,"SSA"
"BDI",2012,145,0,142,3,0.979310344827586,0,0.979310344827586,9.34357775887626e-05,7.47997046218224,NA,1.0942,46.5047086848843,0,0,0,7.48006389795983,7.48006389795983,"SSA"
"BDI",2023,8,0,8,0,1,0,1,1.88698422568729,1.90126959438202,NA,0.0284,8.74039311681112,0,0,0,3.78825382006931,3.78825382006931,"SSA"
"BEN",2005,200,16,112,72,0.64,0.08,0.56,0,0.549277174532844,39.0959311879142,13.7224,NA,1,1,1,0.549277174532844,0.549277174532844,"SSA"
"BEN",2010,229,29,167,33,0.85589519650655,0.126637554585153,0.729257641921397,0.0107280032335427,0.99834562553885,51.4308599492924,28.8059,NA,0,0,0,1.00907362877239,1.00907362877239,"SSA"
"BEN",2017,216,0,177,39,0.819444444444444,0,0.819444444444444,0.0293425152703835,0.536547485699829,61.4765969588474,19.1984,NA,0,0,0,0.565890000970212,0.565890000970212,"SSA"
"BEN",2022,152,4,93,55,0.638157894736842,0.0263157894736842,0.611842105263158,0.00331545034449681,0.357911777997014,44.3815928877424,15.1548,NA,0,0,0,0.361227228341511,0.361227228341511,"SSA"
"BFA",2003,158,11,141,6,0.962025316455696,0.069620253164557,0.892405063291139,0.0392168571814168,0.0213163134052237,30.3682364077323,0.8043,NA,0,0,0,0.0605331705866405,0.0605331705866405,"SSA"
"BFA",2007,164,11,141,14,0.926829268292683,0.0670731707317073,0.859756097560976,11.5064923076897,0.178953782654883,33.7797172895073,7.8705,NA,0,0,0,11.6854460903446,11.6854460903446,"SSA"
"BFA",2010,244,26,121,118,0.602459016393443,0.10655737704918,0.495901639344262,2.81555837145725,0.491640973412152,49.0732385398039,0,NA,0,1,1,3.3071993448694,3.3071993448694,"SSA"
"BFA",2013,226,37,132,63,0.747787610619469,0.163716814159292,0.584070796460177,4.62626483089881,1.0683296718819,64.0358513024234,0,NA,0,0,0,5.69459450278071,5.69459450278071,"SSA"
"BFA",2018,179,30,122,27,0.849162011173184,0.167597765363128,0.681564245810056,0.828034728125843,5.856068296676,60.5956256236488,0,NA,0,0,0,6.68410302480184,6.68410302480184,"SSA"
"BFA",2023,235,16,141,83,0.668085106382979,0.0680851063829787,0.6,0.0160865926865482,0.322414970435841,63.1530435873964,0,NA,0,0,0,0.338501563122389,0.338501563122389,"SSA"
"BGD",2003,210,3,107,102,0.523809523809524,0.0142857142857143,0.509523809523809,0.32333946274161,0.0234516661687324,27.657884900158,3.3459,14.2330258441052,0,0,0,0.346791128910342,0.346791128910342,"SA"
"BGD",2012,230,30,175,43,0.891304347826087,0.130434782608696,0.760869565217391,1.82373354611352,0.417876025550295,48.1109227490467,6.7127,43.7448109265041,0,0,0,2.24160957166381,2.24160957166381,"SA"
