"ISO3","year","unsc","unsc_t1","unsc3"
"ZAF",1951,0,0,0
"ESP",1951,0,0,0
"LKA",1951,0,0,0
"SDN",1951,0,0,0
"SWE",1951,0,0,0
"CHE",1951,0,0,0
"SYR",1951,0,0,0
"THA",1951,0,0,0
"TGO",1951,0,0,0
"TTO",1951,0,0,0
"TUN",1951,0,0,0
"UGA",1951,0,0,0
"UKR",1951,0,0,0
"ARE",1951,0,0,0
"URY",1951,0,0,0
"VNM",1951,0,0,0
"ZMB",1951,0,0,0
"ZWE",1951,0,0,0
"ALB",1952,0,0,0
"DZA",1952,0,0,0
"AGO",1952,0,0,0
"ARG",1952,0,0,0
"AUS",1952,0,0,0
"AUT",1952,0,0,0
"AZE",1952,0,0,0
"BHR",1952,0,0,0
"BGD",1952,0,0,0
"BLR",1952,0,0,0
"BEL",1952,0,0,0
"BEN",1952,0,0,0
"BIH",1952,0,0,0
"BWA",1952,0,0,0
"BRA",1952,1,1,1
"BGR",1952,0,0,0
"BFA",1952,0,0,0
"BDI",1952,0,0,0
"CPV",1952,0,0,0
"CMR",1952,0,0,0
"CAN",1952,0,0,0
"TCD",1952,0,0,0
"CHL",1952,1,0,1
"CHN",1952,1,1,1
"COL",1952,0,0,0
"CRI",1952,0,0,0
"HRV",1952,0,0,0
"CUB",1952,0,0,0
"CZE",1952,0,0,0
"DNK",1952,0,0,0
"DJI",1952,0,0,0
"DOM",1952,0,0,0
"ECU",1952,0,1,1
"GNQ",1952,0,0,0
"EST",1952,0,0,0
"ETH",1952,0,0,0
"FIN",1952,0,0,0
"FRA",1952,1,1,1
"GAB",1952,0,0,0
"DEU",1952,0,0,0
"GHA",1952,0,0,0
"GRC",1952,1,0,1
"GTM",1952,0,0,0
"GIN",1952,0,0,0
"GNB",1952,0,0,0
"GUY",1952,0,0,0
"HND",1952,0,0,0
"HUN",1952,0,0,0
"IND",1952,0,1,1
"IDN",1952,0,0,0
"IRQ",1952,0,0,0
"IRL",1952,0,0,0
"ITA",1952,0,0,0
"JAM",1952,0,0,0
"JPN",1952,0,0,0
"JOR",1952,0,0,0
"KAZ",1952,0,0,0
"KEN",1952,0,0,0
"KWT",1952,0,0,0
"LVA",1952,0,0,0
"LBN",1952,0,0,0
"LBR",1952,0,0,0
"LBY",1952,0,0,0
"LTU",1952,0,0,0
"LUX",1952,0,0,0
"MDG",1952,0,0,0
"MYS",1952,0,0,0
"MLI",1952,0,0,0
"MLT",1952,0,0,0
"MRT",1952,0,0,0
"MUS",1952,0,0,0
"MEX",1952,0,0,0
"MAR",1952,0,0,0
"MOZ",1952,0,0,0
"NAM",1952,0,0,0
"NPL",1952,0,0,0
"NLD",1952,1,1,1
"NZL",1952,0,0,0
"NIC",1952,0,0,0
"NER",1952,0,0,0
"NGA",1952,0,0,0
"NOR",1952,0,0,0
"OMN",1952,0,0,0
"PAK",1952,1,0,1
"PAN",1952,0,0,0
"PRY",1952,0,0,0
"PER",1952,0,0,0
"PHL",1952,0,0,0
"POL",1952,0,0,0
"PRT",1952,0,0,0
"QAT",1952,0,0,0
"ROU",1952,0,0,0
"RUS",1952,0,0,0
"RWA",1952,0,0,0
"SEN",1952,0,0,0
"SLE",1952,0,0,0
"SGP",1952,0,0,0
"SVN",1952,0,0,0
"ZAF",1952,0,0,0
"ESP",1952,0,0,0
"LKA",1952,0,0,0
"SDN",1952,0,0,0
"SWE",1952,0,0,0
"CHE",1952,0,0,0
"SYR",1952,0,0,0
"THA",1952,0,0,0
"TGO",1952,0,0,0
"TTO",1952,0,0,0
"TUN",1952,0,0,0
"UGA",1952,0,0,0
"UKR",1952,0,0,0
"ARE",1952,0,0,0
"URY",1952,0,0,0
"VNM",1952,0,0,0
"ZMB",1952,0,0,0
"ZWE",1952,0,0,0
"ALB",1953,0,0,0
"DZA",1953,0,0,0
"AGO",1953,0,0,0
"ARG",1953,0,0,0
"AUS",1953,0,0,0
"AUT",1953,0,0,0
"AZE",1953,0,0,0
"BHR",1953,0,0,0
"BGD",1953,0,0,0
"BLR",1953,0,0,0
"BEL",1953,0,0,0
"BEN",1953,0,0,0
"BIH",1953,0,0,0
"BWA",1953,0,0,0
"BRA",1953,0,1,1
"BGR",1953,0,0,0
"BFA",1953,0,0,0
"BDI",1953,0,0,0
"CPV",1953,0,0,0
"CMR",1953,0,0,0
"CAN",1953,0,0,0
"TCD",1953,0,0,0
"CHL",1953,1,1,1
"CHN",1953,1,1,1
"COL",1953,1,0,1
"CRI",1953,0,0,0
"HRV",1953,0,0,0
"CUB",1953,0,0,0
"CZE",1953,0,0,0
"DNK",1953,1,0,1
"DJI",1953,0,0,0
"DOM",1953,0,0,0
"ECU",1953,0,0,0
"GNQ",1953,0,0,0
"EST",1953,0,0,0
"ETH",1953,0,0,0
"FIN",1953,0,0,0
"FRA",1953,1,1,1
"GAB",1953,0,0,0
"DEU",1953,0,0,0
"GHA",1953,0,0,0
"GRC",1953,1,1,1
"GTM",1953,0,0,0
"GIN",1953,0,0,0
"GNB",1953,0,0,0
"GUY",1953,0,0,0
"HND",1953,0,0,0
"HUN",1953,0,0,0
"IND",1953,0,0,0
"IDN",1953,0,0,0
"IRQ",1953,0,0,0
"IRL",1953,0,0,0
"ITA",1953,0,0,0
"JAM",1953,0,0,0
"JPN",1953,0,0,0
"JOR",1953,0,0,0
"KAZ",1953,0,0,0
"KEN",1953,0,0,0
"KWT",1953,0,0,0
"LVA",1953,0,0,0
"LBN",1953,1,0,1
"LBR",1953,0,0,0
"LBY",1953,0,0,0
"LTU",1953,0,0,0
"LUX",1953,0,0,0
"MDG",1953,0,0,0
"MYS",1953,0,0,0
"MLI",1953,0,0,0
"MLT",1953,0,0,0
"MRT",1953,0,0,0
"MUS",1953,0,0,0
"MEX",1953,0,0,0
"MAR",1953,0,0,0
"MOZ",1953,0,0,0
"NAM",1953,0,0,0
"NPL",1953,0,0,0
"NLD",1953,0,1,1
"NZL",1953,0,0,0
"NIC",1953,0,0,0
"NER",1953,0,0,0
"NGA",1953,0,0,0
"NOR",1953,0,0,0
"OMN",1953,0,0,0
"PAK",1953,1,1,1
"PAN",1953,0,0,0
"PRY",1953,0,0,0
"PER",1953,0,0,0
"PHL",1953,0,0,0
"POL",1953,0,0,0
"PRT",1953,0,0,0
"QAT",1953,0,0,0
"ROU",1953,0,0,0
"RUS",1953,0,0,0
"RWA",1953,0,0,0
"SEN",1953,0,0,0
"SLE",1953,0,0,0
"SGP",1953,0,0,0
"SVN",1953,0,0,0
"ZAF",1953,0,0,0
"ESP",1953,0,0,0
"LKA",1953,0,0,0
"SDN",1953,0,0,0
"SWE",1953,0,0,0
"CHE",1953,0,0,0
"SYR",1953,0,0,0
"THA",1953,0,0,0
"TGO",1953,0,0,0
"TTO",1953,0,0,0
"TUN",1953,0,0,0
"UGA",1953,0,0,0
"UKR",1953,0,0,0
"ARE",1953,0,0,0
"URY",1953,0,0,0
"VNM",1953,0,0,0
"ZMB",1953,0,0,0
"ZWE",1953,0,0,0
